tier,tier_code,geo,year,barrier,barrier_code,exposure_pct,tier_mean_pct,deviation_pp,coefficient,contribution_pp,actual_adoption_pct,expected_adoption_pct,gap_pp,unexplained_pp
Large (250+),LARGE_GE250,AT,2021,Privacy and data protection,E_AI_BCDP,22.5,41.5,-19.0,-0.0912,1.73,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2021,Cost too high,E_AI_BCST,36.6,45.1,-8.4,-0.4143,3.49,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2021,Data availability or quality,E_AI_BDDT,52.6,44.3,8.3,0.3716,3.08,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2021,Incompatible with existing systems,E_AI_BINC,36.1,45.7,-9.5,0.0758,-0.72,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2021,Lack of expertise,E_AI_BLE,58.4,62.9,-4.5,0.3877,-1.75,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2021,Legal consequences unclear,E_AI_BLEG,23.5,38.2,-14.7,-0.1717,2.52,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2021,AI not useful for us,E_AI_BNU,19.2,12.4,6.8,0.3377,2.3,31.7,28.5,3.3,-7.38
Large (250+),LARGE_GE250,AT,2023,Privacy and data protection,E_AI_BCDP,35.2,41.5,-6.3,-0.0912,0.58,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2023,Cost too high,E_AI_BCST,27.7,45.1,-17.4,-0.4143,7.21,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2023,Data availability or quality,E_AI_BDDT,55.4,44.3,11.1,0.3716,4.14,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2023,Incompatible with existing systems,E_AI_BINC,44.6,45.7,-1.1,0.0758,-0.08,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2023,Lack of expertise,E_AI_BLE,61.6,62.9,-1.3,0.3877,-0.5,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2023,Legal consequences unclear,E_AI_BLEG,34.5,38.2,-3.7,-0.1717,0.63,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2023,AI not useful for us,E_AI_BNU,22.3,12.4,9.9,0.3377,3.35,35.2,28.8,6.5,-8.83
Large (250+),LARGE_GE250,AT,2024,Privacy and data protection,E_AI_BCDP,45.9,41.5,4.5,-0.0912,-0.41,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2024,Cost too high,E_AI_BCST,27.8,45.1,-17.3,-0.4143,7.16,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2024,Data availability or quality,E_AI_BDDT,45.7,44.3,1.4,0.3716,0.53,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2024,Incompatible with existing systems,E_AI_BINC,33.4,45.7,-12.2,0.0758,-0.93,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2024,Lack of expertise,E_AI_BLE,60.9,62.9,-2.0,0.3877,-0.78,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2024,Legal consequences unclear,E_AI_BLEG,45.1,38.2,6.9,-0.1717,-1.19,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2024,AI not useful for us,E_AI_BNU,23.2,12.4,10.9,0.3377,3.67,49.9,42.0,7.9,-0.14
Large (250+),LARGE_GE250,AT,2025,Privacy and data protection,E_AI_BCDP,55.2,41.5,13.7,-0.0912,-1.25,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,AT,2025,Cost too high,E_AI_BCST,31.7,45.1,-13.4,-0.4143,5.55,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,AT,2025,Data availability or quality,E_AI_BDDT,38.5,44.3,-5.8,0.3716,-2.15,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,AT,2025,Incompatible with existing systems,E_AI_BINC,32.1,45.7,-13.6,0.0758,-1.03,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,AT,2025,Lack of expertise,E_AI_BLE,54.9,62.9,-8.0,0.3877,-3.09,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,AT,2025,Legal consequences unclear,E_AI_BLEG,47.0,38.2,8.8,-0.1717,-1.51,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,AT,2025,AI not useful for us,E_AI_BNU,26.3,12.4,13.9,0.3377,4.7,68.3,56.7,11.5,10.33
Large (250+),LARGE_GE250,BE,2021,Privacy and data protection,E_AI_BCDP,29.6,41.5,-11.9,-0.0912,1.09,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2021,Cost too high,E_AI_BCST,46.1,45.1,1.0,-0.4143,-0.42,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2021,Data availability or quality,E_AI_BDDT,54.6,44.3,10.3,0.3716,3.83,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2021,Incompatible with existing systems,E_AI_BINC,51.2,45.7,5.5,0.0758,0.42,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2021,Lack of expertise,E_AI_BLE,66.3,62.9,3.4,0.3877,1.32,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2021,Legal consequences unclear,E_AI_BLEG,28.8,38.2,-9.3,-0.1717,1.61,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2021,AI not useful for us,E_AI_BNU,4.7,12.4,-7.7,0.3377,-2.59,41.4,28.5,13.0,7.73
Large (250+),LARGE_GE250,BE,2023,Privacy and data protection,E_AI_BCDP,39.8,41.5,-1.7,-0.0912,0.16,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2023,Cost too high,E_AI_BCST,43.0,45.1,-2.1,-0.4143,0.87,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2023,Data availability or quality,E_AI_BDDT,54.7,44.3,10.4,0.3716,3.86,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2023,Incompatible with existing systems,E_AI_BINC,33.2,45.7,-12.5,0.0758,-0.95,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2023,Lack of expertise,E_AI_BLE,71.1,62.9,8.2,0.3877,3.19,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2023,Legal consequences unclear,E_AI_BLEG,38.2,38.2,0.0,-0.1717,-0.01,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2023,AI not useful for us,E_AI_BNU,12.4,12.4,0.1,0.3377,0.02,47.9,28.8,19.1,11.94
Large (250+),LARGE_GE250,BE,2024,Privacy and data protection,E_AI_BCDP,41.9,41.5,0.4,-0.0912,-0.04,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2024,Cost too high,E_AI_BCST,51.7,45.1,6.6,-0.4143,-2.75,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2024,Data availability or quality,E_AI_BDDT,57.8,44.3,13.5,0.3716,5.01,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2024,Incompatible with existing systems,E_AI_BINC,45.3,45.7,-0.3,0.0758,-0.03,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2024,Lack of expertise,E_AI_BLE,78.3,62.9,15.4,0.3877,5.97,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2024,Legal consequences unclear,E_AI_BLEG,41.9,38.2,3.7,-0.1717,-0.64,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2024,AI not useful for us,E_AI_BNU,16.2,12.4,3.8,0.3377,1.29,66.3,42.0,24.2,15.43
Large (250+),LARGE_GE250,BE,2025,Privacy and data protection,E_AI_BCDP,57.3,41.5,15.9,-0.0912,-1.45,76.4,56.7,19.7,12.95
Large (250+),LARGE_GE250,BE,2025,Cost too high,E_AI_BCST,51.3,45.1,6.2,-0.4143,-2.57,76.4,56.7,19.7,12.95
Large (250+),LARGE_GE250,BE,2025,Data availability or quality,E_AI_BDDT,60.1,44.3,15.8,0.3716,5.87,76.4,56.7,19.7,12.95
Large (250+),LARGE_GE250,BE,2025,Incompatible with existing systems,E_AI_BINC,54.0,45.7,8.4,0.0758,0.63,76.4,56.7,19.7,12.95
Large (250+),LARGE_GE250,BE,2025,Lack of expertise,E_AI_BLE,82.2,62.9,19.3,0.3877,7.49,76.4,56.7,19.7,12.95
Large (250+),LARGE_GE250,BE,2025,Legal consequences unclear,E_AI_BLEG,52.7,38.2,14.5,-0.1717,-2.49,76.4,56.7,19.7,12.95
