country,geo,tier,tier_code,year,in_model,barrier,barrier_code,exposure_pct,tier_mean_pct,deviation_pp,coefficient,contribution_pp,actual_adoption_pct,expected_adoption_pct,gap_pp,unexplained_pp,tier_n_cells,tier_n_countries,tier_delta_r2,outcome_code,outcome_unit,exposure_unit,generated_utc,rank_in_unit,tier_ranking_stable
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,Cost too high,E_AI_BCST,41.9,41.9,0.0,-0.6743,-0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,Lack of expertise,E_AI_BLE,63.6,63.6,0.0,0.5916,0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,Data availability or quality,E_AI_BDDT,44.7,44.7,0.0,0.789,0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,Legal consequences unclear,E_AI_BLEG,47.6,47.6,0.0,-0.2175,-0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,Privacy and data protection,E_AI_BCDP,55.5,55.5,0.0,0.3887,0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,Incompatible with existing systems,E_AI_BINC,42.9,42.9,0.0,-0.1525,-0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
All countries (unweighted mean),ALL_MEAN,Large (250+),LARGE_GE250,2025,False,AI not useful for us,E_AI_BNU,12.0,12.0,0.0,1.3409,0.0,55.3,55.3,-0.0,-0.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,26.3,12.0,14.3,1.3409,19.15,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,31.7,41.9,-10.2,-0.6743,6.89,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,54.9,63.6,-8.7,0.5916,-5.16,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,38.5,44.7,-6.2,0.789,-4.92,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,32.1,42.9,-10.8,-0.1525,1.65,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,47.0,47.6,-0.6,-0.2175,0.14,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Austria,AT,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,55.2,55.5,-0.3,0.3887,-0.11,68.3,55.3,13.0,-4.63,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,60.1,44.7,15.3,0.789,12.11,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,82.2,63.6,18.6,0.5916,10.99,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,51.3,41.9,9.4,-0.6743,-6.33,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,10.2,12.0,-1.8,1.3409,-2.44,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,54.0,42.9,11.2,-0.1525,-1.7,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,52.7,47.6,5.1,-0.2175,-1.11,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Belgium,BE,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,57.3,55.5,1.9,0.3887,0.73,76.4,55.3,21.2,8.91,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,53.8,41.9,11.9,-0.6743,-8.06,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,37.0,44.7,-7.8,0.789,-6.13,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,47.2,55.5,-8.3,0.3887,-3.23,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,9.9,12.0,-2.1,1.3409,-2.88,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,61.9,63.6,-1.7,0.5916,-1.0,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,51.8,47.6,4.2,-0.2175,-0.91,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Bulgaria,BG,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,45.7,42.9,2.8,-0.1525,-0.43,26.2,55.3,-29.1,-6.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,32.5,44.7,-12.3,0.789,-9.68,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,52.6,41.9,10.7,-0.6743,-7.2,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,17.3,12.0,5.3,1.3409,7.15,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,39.2,55.5,-16.3,0.3887,-6.33,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,59.2,63.6,-4.4,0.5916,-2.6,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,35.7,47.6,-12.0,-0.2175,2.6,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Croatia,HR,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,47.7,42.9,4.8,-0.1525,-0.74,39.6,55.3,-15.7,1.11,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,45.6,63.6,-18.1,0.5916,-10.69,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,68.5,42.9,25.6,-0.1525,-3.91,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,36.8,41.9,-5.1,-0.6743,3.46,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,10.5,12.0,-1.5,1.3409,-2.02,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,56.1,47.6,8.4,-0.2175,-1.84,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,50.8,55.5,-4.7,0.3887,-1.81,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Cyprus,CY,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,45.6,44.7,0.8,0.789,0.64,35.1,55.3,-20.2,-4.02,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Denmark,DK,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,19.9,41.9,-22.0,-0.6743,14.84,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Denmark,DK,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,73.5,63.6,9.8,0.5916,5.83,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
