tier,tier_code,rank,barrier,barrier_full,barrier_code,share_pct,ci_low_pct,ci_high_pct,first_place_rate,direction,corr_with_adoption,exposure_eu27_pct,n_cells,n_countries,years,r2_years_only,r2_with_barriers,r2_adjusted,delta_r2,lead_share,stability_threshold,bootstrap_draws,tier_published,outcome_code,outcome_unit,exposure_unit,generated_utc
Small (10-49),SMALL_10_49,1,Cost too high,"Enterprises do not use AI technologies, because the costs seem too high",E_AI_BCST,64.7,41.4,71.9,1.0,against adoption,-0.72,38.8,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Small (10-49),SMALL_10_49,2,Incompatible with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",E_AI_BINC,9.8,2.8,25.2,0.0,against adoption,-0.47,41.7,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Small (10-49),SMALL_10_49,3,Legal consequences unclear,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",E_AI_BLEG,7.9,2.6,18.2,0.0,with adoption,0.08,54.8,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Small (10-49),SMALL_10_49,4,Lack of expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",E_AI_BLE,7.2,1.5,17.3,0.0,with adoption,0.41,70.9,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Small (10-49),SMALL_10_49,5,AI not useful for us,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",E_AI_BNU,5.1,0.6,19.2,0.0,against adoption,-0.28,19.2,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Small (10-49),SMALL_10_49,6,Data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",E_AI_BDDT,3.4,1.8,12.7,0.0,against adoption,-0.05,43.7,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Small (10-49),SMALL_10_49,7,Privacy and data protection,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",E_AI_BCDP,1.8,0.8,6.2,0.0,with adoption,0.26,52.5,83,24,2021 2023 2024 2025,0.42,0.687,0.639,0.268,1.0,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Medium (50-249),MEDIUM_50_249,1,Cost too high,"Enterprises do not use AI technologies, because the costs seem too high",E_AI_BCST,54.2,34.0,63.3,0.93,against adoption,-0.7,37.3,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Medium (50-249),MEDIUM_50_249,2,Lack of expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",E_AI_BLE,27.3,11.3,40.2,0.07,with adoption,0.55,69.2,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Medium (50-249),MEDIUM_50_249,3,Legal consequences unclear,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",E_AI_BLEG,7.3,1.9,20.9,0.0,with adoption,0.17,49.4,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
