tier,tier_code,rank,barrier,barrier_full,barrier_code,share_pct,ci_low_pct,ci_high_pct,first_place_rate,direction,corr_with_adoption,exposure_eu27_pct,n_cells,n_countries,years,r2_years_only,r2_with_barriers,r2_adjusted,delta_r2,lead_share,stability_threshold,bootstrap_draws,tier_published,outcome_code,outcome_unit,exposure_unit,generated_utc
Small (10-49),SMALL_10_49,1,Cost too high,"Enterprises do not use AI technologies, because the costs seem too high",E_AI_BCST,55.4,33.3,66.1,0.978,against adoption,-0.8,38.8,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Small (10-49),SMALL_10_49,2,Incompatible with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",E_AI_BINC,14.4,4.9,27.5,0.015,against adoption,-0.52,41.7,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Small (10-49),SMALL_10_49,3,AI not useful for us,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",E_AI_BNU,10.8,2.7,20.9,0.0,against adoption,-0.47,19.2,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Small (10-49),SMALL_10_49,4,Lack of expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",E_AI_BLE,9.2,2.4,19.7,0.007,with adoption,0.46,70.9,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Small (10-49),SMALL_10_49,5,Data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",E_AI_BDDT,4.7,2.3,11.1,0.0,against adoption,-0.09,43.7,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Small (10-49),SMALL_10_49,6,Legal consequences unclear,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",E_AI_BLEG,3.5,2.1,11.4,0.0,against adoption,-0.24,54.8,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Small (10-49),SMALL_10_49,7,Privacy and data protection,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",E_AI_BCDP,2.0,1.3,6.5,0.0,against adoption,-0.09,52.5,22,22,2025,0.0,0.791,0.662,0.791,0.978,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Medium (50-249),MEDIUM_50_249,1,Cost too high,"Enterprises do not use AI technologies, because the costs seem too high",E_AI_BCST,58.0,27.5,68.6,0.92,against adoption,-0.78,37.3,22,22,2025,0.0,0.74,0.579,0.74,0.92,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Medium (50-249),MEDIUM_50_249,2,Lack of expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",E_AI_BLE,25.0,7.6,37.0,0.077,with adoption,0.58,69.2,22,22,2025,0.0,0.74,0.579,0.74,0.92,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Medium (50-249),MEDIUM_50_249,3,Incompatible with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",E_AI_BINC,5.9,2.0,20.2,0.0,against adoption,-0.37,42.0,22,22,2025,0.0,0.74,0.579,0.74,0.92,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Medium (50-249),MEDIUM_50_249,4,AI not useful for us,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",E_AI_BNU,3.9,1.6,12.5,0.0,against adoption,-0.26,13.8,22,22,2025,0.0,0.74,0.579,0.74,0.92,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
Medium (50-249),MEDIUM_50_249,5,Legal consequences unclear,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",E_AI_BLEG,2.7,1.9,15.6,0.003,against adoption,-0.14,49.4,22,22,2025,0.0,0.74,0.579,0.74,0.92,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z
